Created Date,Id,Accept Time,Agent Type,Agent Message Count,Case Id,Channel Name,Status
2024-11-04T11:34:52.000+0000,0MwJ7000000x0o6KAA,2024-11-08T10:34:24.000+0000,Agent,7,500J7000005fnx8IAA,Inbound Messaging,Ended
2024-11-04T11:35:03.000+0000,0MwJ7000000x0oBKAQ,2024-11-05T11:30:59.000+0000,Agent,2,500J7000005fnx3IAA,Inbound Messaging,Ended
2024-11-04T11:35:17.000+0000,0MwJ7000000x0oGKAQ,2024-11-05T11:23:10.000+0000,Agent,1,500J7000005fpfkIAA,Inbound Messaging,Ended
2024-11-04T11:36:20.000+0000,0MwJ7000000x0oLKAQ,2024-11-08T12:52:18.000+0000,Agent,5,500J7000005fnxmIAA,Inbound Messaging,Ended
2024-11-04T11:41:00.000+0000,0MwJ7000000x0oQKAQ,2024-11-04T11:41:01.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:42:01.000+0000,0MwJ7000000x0oVKAQ,2024-11-04T11:42:03.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:42:21.000+0000,0MwJ7000000x0oaKAA,2024-11-04T16:39:30.000+0000,Agent,2,500J7000005fnzJIAQ,Inbound Messaging,Ended
2024-11-04T11:43:35.000+0000,0MwJ7000000x0ofKAA,2024-11-05T11:34:14.000+0000,Agent,4,500J7000005fo0gIAA,Inbound Messaging,Ended
2024-11-04T11:43:55.000+0000,0MwJ7000000x0okKAA,2024-11-05T11:45:06.000+0000,Agent,4,500J7000005fo0MIAQ,Inbound Messaging,Ended
2024-11-04T11:45:29.000+0000,0MwJ7000000x0opKAA,2024-11-05T11:40:56.000+0000,Agent,3,500J7000005fo07IAA,Inbound Messaging,Ended
2024-11-04T11:46:40.000+0000,0MwJ7000000x0ouKAA,2024-11-05T17:34:19.000+0000,Agent,4,500J7000005fo57IAA,Inbound Messaging,Ended
2024-11-04T11:47:06.000+0000,0MwJ7000000x0ozKAA,2024-11-11T10:47:10.000+0000,Agent,14,500J7000005fo0qIAA,Inbound Messaging,Ended
2024-11-04T11:47:47.000+0000,0MwJ7000000x0p4KAA,2024-11-04T11:47:48.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:48:19.000+0000,0MwJ7000000x0p9KAA,2024-11-04T16:46:22.000+0000,Agent,3,500J7000005fo10IAA,Inbound Messaging,Ended
2024-11-04T11:49:23.000+0000,0MwJ7000000x0pEKAQ,2024-11-04T11:49:24.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:51:12.000+0000,0MwJ7000000x0pJKAQ,2024-11-04T11:51:13.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:51:24.000+0000,0MwJ7000000x0pOKAQ,2024-11-04T16:46:09.000+0000,Agent,1,500J7000005fo23IAA,Inbound Messaging,Ended
2024-11-04T11:52:25.000+0000,0MwJ7000000x0pTKAQ,2024-11-08T15:24:03.000+0000,Agent,13,500J7000005fo2XIAQ,Inbound Messaging,Ended
2024-11-04T11:52:47.000+0000,0MwJ7000000x0pYKAQ,2024-11-04T11:52:48.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:53:09.000+0000,0MwJ7000000x0pdKAA,2024-11-04T16:55:54.000+0000,Agent,1,500J7000005fo49IAA,Inbound Messaging,Ended
2024-11-04T11:56:14.000+0000,0MwJ7000000x0piKAA,2024-11-04T11:56:15.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:56:43.000+0000,0MwJ7000000x0pnKAA,2024-11-04T11:56:44.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:57:14.000+0000,0MwJ7000000x0psKAA,2024-11-04T11:57:15.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T11:57:34.000+0000,0MwJ7000000x0pxKAA,2024-11-05T11:46:47.000+0000,Agent,14,500J7000005fpgnIAA,Inbound Messaging,Ended
